,Player_Name,Country
250,C Madan,India
251,AG Paunikar,India
252,MR Marsh,Australia
253,AJ Finch,Australia
254,STR Binny,India
255,Harmeet Singh,India
256,IR Jaggi,India
257,DT Christian,Australia
258,RV Gomez,India
259,MA Agarwal,India
260,AUK Pathan,India
261,UBT Chand,India
262,DJ Jacobs,South Africa
263,Sunny Singh,India
264,NJ Rimmington,Australia
265,AL Menaria,India
266,WD Parnell,South Africa
267,JJ van der Wath,South Africa
268,R Ninan,India
269,S Aravind,India
270,MS Wade,Australia
271,TD Paine,Australia
272,SB Wagh,India
273,AC Thomas,England
274,JEC Franklin,New Zealand
275,Shakib Al Hasan,Bangladesh
276,DH Yagnik,India
277,S Randiv,Sri Lanka
278,BJ Haddin,Australia
279,NLTC Perera,Sri Lanka
280,NL McCullum,New Zealand
281,JE Taylor,New Zealand
282,J Syed Mohammad,India
283,RN ten Doeschate,Netherlands
284,TR Birt,Australia
285,AG Murtaza,India
286,Harpreet Singh,India
287,M Klinger,Australia
288,AC Blizzard,Australia
289,I Malhotra,India
290,L Ablish,India
291,CA Ingram,South Africa
292,S Nadeem,India
293,P Parameswaran,India
294,CJ Ferguson,Australia
295,VR Aaron,India
296,AA Chavan,India
297,ND Doshi,India
298,B Kumar,India
299,Y Gnaneswara Rao,India
300,S Rana,India
301,BA Bhatt,India
302,F du Plessis,South Africa
303,RE Levi,South Africa
304,GJ Maxwell,Australia
305,SPD Smith,India
306,MN Samuels,West Indies
307,SA Yadav,India
308,KK Cooper,West Indies
309,JP Faulkner,Australia
310,HV Patel,India
311,DAJ Bracewell,New Zealand
312,DJ Harris,Australia
313,Ankit Sharma,India
314,SP Narine,West Indies
315,GB Hogg,Australia
316,RR Bhatkal,India
317,CJ McKay,Australia
318,N Saini,India
319,DA Miller,South Africa
320,Azhar Mahmood,Pakistan
321,P Negi,India
322,RJ Peterson,South Africa
323,KMDN Kulasekara,Sri Lanka
324,A Ashish Reddy,India
325,V Pratap Singh,India
326,BB Samantray,India
327,MJ Clarke,Australia
328,Gurkeerat Singh,India
329,AP Majumdar,India
330,PA Reddy,India
331,K Upadhyay,India
332,P Awana,India
333,AD Russell,West Indies
334,A Chandila,India
335,CA Lynn,Australia
336,Sunny Gupta,India
337,MC Juneja,India
338,KK Nair,India
339,GH Vihari,India
340,MDKJ Perera,Sri Lanka
341,R Shukla,India
342,B Laughlin,Australia
343,AS Rajpoot,India
344,M Vohra,India
345,JD Unadkat,India
346,Mohammed Shami,India
